""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"SPTBN1"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"SPTBN1"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"BANK1"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"BANK1"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"MS4A1"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"CD20"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"TSPAN13"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"TSPAN13"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IGHG1"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"IGHG1"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AMMECR1"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"AMMECR1"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"EFHC2"	"gene expression"	"up"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"5"	"203"	"EFHC2"	"hipciof_gene_26742691_203.txt"	"hipciof_gene_complete_26742691_203.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"HP"	"gene expression"	"down"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"6"	"204"	"HP"	"hipciof_gene_26742691_204.txt"	"hipciof_gene_complete_26742691_204.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"HPR"	"gene expression"	"down"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"6"	"204"	"HPR"	"hipciof_gene_26742691_204.txt"	"hipciof_gene_complete_26742691_204.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"SYDE2"	"gene expression"	"down"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"6"	"204"	"SYDE2"	"hipciof_gene_26742691_204.txt"	"hipciof_gene_complete_26742691_204.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"KIF18B"	"gene expression"	"down"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"6"	"204"	"KIF18B"	"hipciof_gene_26742691_204.txt"	"hipciof_gene_complete_26742691_204.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"TOP3A"	"gene expression"	"down"	"responders (training set)"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"6"	"204"	"TOP3A"	"hipciof_gene_26742691_204.txt"	"hipciof_gene_complete_26742691_204.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ABCB11"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ABCB11"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ABCB4"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ABCB4"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ABLIM1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ABLIM1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ACSM1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ACSM1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ADAM21"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ADAM21"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ADAM22"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ADAM22"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ADAM28"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ADAM28"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ADAM30"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ADAM30"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ADD3"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ADD3"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AFF3"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AFF3"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AGPAT5"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AGPAT5"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AHR"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AHR"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AIDA"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AIDA"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ALDH1A3"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ALDH1A3"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ALDOB"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ALDOB"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AMOTL1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AMOTL1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANAPC1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANAPC1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANAPC16"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANAPC16"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANGPTL1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANGPTL1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANK3"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANK3"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANKRD36"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANKRD36"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANKRD36B"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANKRD36B"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ANP32E"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ANP32E"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AP4S1"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AP4S1"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"API5"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"API5"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"APOO"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"APOO"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"AR"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"AR"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ARHGAP42"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ARHGAP42"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ARHGEF3"	"gene expression"	"up"	"responders"	""	""	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"adults (25-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"7"	"205"	"ARHGEF3"	"hipciof_gene_26742691_205.txt"	"hipciof_gene_complete_26742691_205.txt"
