""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"IFNG"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"IFNG"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR3"	"gene expression"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"492"	"TLR3"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_492.txt"	"hipciof_gene_complete_28549970_492.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR4"	"gene expression"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"492"	"TLR4"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_492.txt"	"hipciof_gene_complete_28549970_492.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR9"	"gene expression"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"492"	"TLR9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_492.txt"	"hipciof_gene_complete_28549970_492.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CCL5"	"gene expression"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"492"	"CCL5"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_492.txt"	"hipciof_gene_complete_28549970_492.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR3"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"493"	"TLR3"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_493.txt"	"hipciof_gene_complete_28549970_493.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR4"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"493"	"TLR4"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_493.txt"	"hipciof_gene_complete_28549970_493.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR7"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"493"	"TLR7"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_493.txt"	"hipciof_gene_complete_28549970_493.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR9"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"493"	"TLR9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_493.txt"	"hipciof_gene_complete_28549970_493.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"IFNG"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"493"	"IFNG"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_493.txt"	"hipciof_gene_complete_28549970_493.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR4"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"494"	"TLR4"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_494.txt"	"hipciof_gene_complete_28549970_494.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"494"	"CXCL8"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_494.txt"	"hipciof_gene_complete_28549970_494.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"IFNG"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"494"	"IFNG"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_494.txt"	"hipciof_gene_complete_28549970_494.txt"
