""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"RIPK2"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"RIPK2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"TGFB1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"TGFB1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"MICB"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"MICB"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"SOCS1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"SOCS1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"IL2RA"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"IL2RA"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"MS4A1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"MS4A1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"PTPRC"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"PTPRC"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"IL2"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"IL2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"CXCL8"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"3"	"450"	"IL8"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_450.txt"	"hipciof_gene_complete_26148331_450.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"IL4"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"5"	"452"	"IL4"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_452.txt"	"hipciof_gene_complete_26148331_452.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"IL12B"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"5"	"452"	"IL12B"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_452.txt"	"hipciof_gene_complete_26148331_452.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"TLR2"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"5"	"452"	"TLR2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_452.txt"	"hipciof_gene_complete_26148331_452.txt"
