""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"CD74"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"HLA-E"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"TNFSF13B"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"TNFSF13B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"STAT1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"IRF9"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"SPI1"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"SPI1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"CD74"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"HLA-E"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"TNFSF13B"	"gene expression"	"up"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"TNFSF13B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_10.txt"	"hipciof_gene_complete_21357945_10.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"E2F2"	"gene expression"	"up"	"low responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"E2F2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_11.txt"	"hipciof_gene_complete_21357945_11.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"up"	"low responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"PRDX2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_11.txt"	"hipciof_gene_complete_21357945_11.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PRDX3"	"gene expression"	"up"	"low responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"PRDX3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_11.txt"	"hipciof_gene_complete_21357945_11.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PTEN"	"gene expression"	"up"	"low responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"PTEN"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_11.txt"	"hipciof_gene_complete_21357945_11.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"ITGB1"	"gene expression"	"up"	"low responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"ITGB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_11.txt"	"hipciof_gene_complete_21357945_11.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"E2F2"	"gene expression"	"up"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"E2F2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_12.txt"	"hipciof_gene_complete_21357945_12.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"up"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PRDX2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_12.txt"	"hipciof_gene_complete_21357945_12.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PRDX3"	"gene expression"	"up"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PRDX3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_12.txt"	"hipciof_gene_complete_21357945_12.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PTEN"	"gene expression"	"up"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PTEN"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_12.txt"	"hipciof_gene_complete_21357945_12.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"ITGB1"	"gene expression"	"up"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"ITGB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_12.txt"	"hipciof_gene_complete_21357945_12.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"LILRB3"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"LILRB3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"DAPP1"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"DAPP1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"HLA-G"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"LILRB1"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"LILRB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"PIGR"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"PIGR"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"TAPBP"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"TAPBP"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"CSF2RA"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"CSF2RA"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"CD27"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"CD27"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"FCGR1A"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"ISG15"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"ISG15"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"IRF9"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_13.txt"	"hipciof_gene_complete_21357945_13.txt"
