""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"HSD11B1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"HSD11B1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"IDO1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"INDO"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"RAB8B"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"RAB8B"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"GGT5"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"GGTLA1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"JAG1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"JAG1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"AKAP2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"AKAP2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"CXCL11"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"CXCL11"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PLEK"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PLEK"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"NDUFV2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"NDUFV2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"ADAM19"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"ADAM19"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"KIR2DS5"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"KIR2DS5"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"GAPDH"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"GAPDH"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"ICAM1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"ICAM1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PSMB5"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PSMB5"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"KIF20A"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"KIF20A"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"ST3GAL5"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"ST3GAL5"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PFKP"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PFKP"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"CD38"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"CD38"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"GOLM1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"GOLPH2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"TPI1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"TPI1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"MTHFD2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"MTHFD2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"TYMS"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"TYMS"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PSMD12"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PSMD12"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"EBNA1BP2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"EBNA1BP2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"MSMO1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"SC4MOL"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"ADAR"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"ADAR"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PMS2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PMS2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"LAMP3"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"IL6"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"IL6"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"IL3"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"IL3"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PRC1"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PRC1"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"AICDA"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"AICDA"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"SLC25A17"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"SLC25A17"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"CCNB2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"CCNB2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"CCND2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"CCND2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"PSMA2"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"PSMA2"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"CDC40"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"CDC40"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
""	"20090330-hipciof_gene_19155521"	"2009.03.30"	"hipciof_gene_24"	"peripheral blood mononuclear cell"	"MT2A"	"gene expression"	"up"	"none"	"2"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"2m-0m"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"1"	"149"	"MT2A"	"hipciof_gene_19155521_149.txt"	"hipciof_gene_complete_19155521_149.txt"
