""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"IFIT3"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"1"	"248"	"IFIT3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_248.txt"	"hipciof_gene_complete_24495909_248.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"BATF2"	"gene expression"	"up"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"1"	"248"	"BATF2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_248.txt"	"hipciof_gene_complete_24495909_248.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ORM1"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"ORM1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TGM3"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"TGM3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PHOSPHO2"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"PHOSPHO2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CACNA2D2"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"CACNA2D2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"FAM209B"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"C20ORF107"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PGM3"	"gene expression"	"down"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2"	"249"	"PGM3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_249.txt"	"hipciof_gene_complete_24495909_249.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"DEFA1B"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"DEFA1B"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PDIA4"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"PDIA4"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CEACAM8"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"CEACAM8"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TNFRSF17"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"TNFRSF17"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"SNORD3C"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"SNORD3C"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ZFP30"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"ZFP30"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"C12orf49"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"C12ORF49"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"WFS1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"250"	"WFS1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_250.txt"	"hipciof_gene_complete_24495909_250.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"LRRK2"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"LRRK2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"MRVI1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"MRVI1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"FCAR"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"FCAR"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CTBP2"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"CTBP2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"P2RY14"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"P2RY14"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"KAZN"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"KAZN"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"PLAUR"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"251"	"PLAUR"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_251.txt"	"hipciof_gene_complete_24495909_251.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TSHZ2"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"TSHZ2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ALG3"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"ALG3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"DUSP10"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"DUSP10"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"SALL2"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"SALL2"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"ADCK5"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"ADCK5"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"METTL2A"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"METTL2A"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"BTRC"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"5"	"252"	"BTRC"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_252.txt"	"hipciof_gene_complete_24495909_252.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"TMEM229B"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"6"	"253"	"TMEM229B"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_253.txt"	"hipciof_gene_complete_24495909_253.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"AIFM1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"6"	"253"	"AIFM1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_253.txt"	"hipciof_gene_complete_24495909_253.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CCDC51"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"6"	"253"	"CCDC51"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_253.txt"	"hipciof_gene_complete_24495909_253.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"USP1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"6"	"253"	"USP1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_253.txt"	"hipciof_gene_complete_24495909_253.txt"
""	"20140822-hipciof_gene_24495909"	"2014.08.22"	"hipciof_gene_36"	"blood"	"CTDSP1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"6"	"253"	"CTDSP1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_24495909_253.txt"	"hipciof_gene_complete_24495909_253.txt"
