""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"BRMS1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"BRMS1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"BATF"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"BATF"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"NOSIP"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"NOSIP"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"HDAC7"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"HDAC7"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MARCH6"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"MARCH6"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TRIM4"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TRIM4"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"AIF1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"AIF1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CEBPE"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"CEBPE"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ANKRD13D"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"ANKRD13D"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"HSP90AB1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"HSP90AB1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PA2G4"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"PA2G4"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"VPS13C"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"VPS13C"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TFF3"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TFF3"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MYO1G"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"MYO1G"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"APOL1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"APOL1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"WASF2"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"WASF2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"UGGT1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"UGCGL1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PLEC"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"PLEC"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PPP2R1A"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"PPP2R1A"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"FKBP2"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"FKBP2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"HYMAI"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"HYMAI"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"POLR1B"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"POLR1B"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"LNPK"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"LNPK"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MED15"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"MED15"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TUBGCP2"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TUBGCP2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CPSF2"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"CPSF2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"BRD3"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"BRD3"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TTC17"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TTC17"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CPNE5"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"CPNE5"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MRPL41"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"MRPL41"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"USP21"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"USP21"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"LSM7"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"LSM7"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TMEM219"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TMEM219"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CYP4F12"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"CYP4F12"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TNPO3"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TNPO3"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
