""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"signature_file_complete"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"GPR162"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"GPR162"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"NFXL1"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"NFXL1"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"PPM1F"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"PPM1F"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"PRKDC"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"PRKDC"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"FAM214A"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"FAM214A"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"MYADM"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"MYADM"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"CBX7"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"CBX7"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"KLHDC2"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"KLHDC2"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"RPL18"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"RPL18"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"TBL1X"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"TBL1X"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"RPL3"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"RPL3"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"TMX4"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"TXNDC13"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"RPL5"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"RPL5"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"STAT5B"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"STAT5B"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"FAM126B"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"FAM126B"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"CAMK1D"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"CAMK1D"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"DDX3X"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"DDX3X"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"CREB5"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"CREB5"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"ABCC5"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"ABCC5"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"PTOV1"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"PTOV1"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"ZNF217"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"ZNF217"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"RPS29"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"RPS29"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"NIBAN1"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"NIBAN1"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"ICAM3"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"ICAM3"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"TP53INP2"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"TP53INP2"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"CPPED1"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"CPPED1"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"KBTBD7"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"KBTBD7"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"RPS25"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"RPS25"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
""	"hipc_gene_19047440_2"	"2008.12"	"hipc_gene_19047440_2"	"peripheral blood mononuclear cell"	"KLHL2"	"gene expression"	"down"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"2"	"31"	"KLHL2"	"104"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_2.txt"	"hipc_gene_sig_complete_19047440_2.txt"
