""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"YBX3"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"YBX3"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"OR2T35"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"OR2T35"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"DNAJB2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"DNAJB2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"CDC14B"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"CDC14B"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"TPRA1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"TPRA1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"ST6GALNAC4"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"ST6GALNAC4"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"TGM2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"TGM2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"DMTN"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"DMTN"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"ROPN1B"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"ROPN1B"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"HBQ1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"HBQ1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"GUCD1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"C22orf13"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"SRRD"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"SRRD"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"DPM2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"DPM2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"HAGH"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"HAGH"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"UBXN6"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"UBXN6"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"ADIPOR1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"ADIPOR1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"GUK1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"GUK1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"PRDX5"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"PRDX5"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"GYPC"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"GYPC"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"FIS1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"FIS1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"SERF2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"SERF2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"PHOSPHO1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"PHOSPHO1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"SESN3"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"SESN3"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"STMN3"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"STMN3"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"FBXO7"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"FBXO7"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"PRDX2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"DCAF6"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"DCAF6"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"PLEK2"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"PLEK2"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"PDZK1IP1"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"PDZK1IP1"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
""	"hipc_gene_19047440_12"	"2008.12"	"hipc_gene_19047440_12"	"peripheral blood mononuclear cell"	"TSPAN5"	"gene expression"	"down"	"none"	"60"	"Days"	"time of vaccination (first dose)"	"60d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"12"	"41"	"TSPAN5"	"34"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_12.txt"	"hipc_gene_sig_complete_19047440_12.txt"
