""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"GBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"GBP1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"GBP5"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"GBP5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"IDO1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"IDO1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"IFI35"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"IFI35"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"IFI6"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"IFI6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"IFIT3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"IFIT3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"IRF9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"ISG15"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"OAS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"OAS3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PARP9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PSEN2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PSMB8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PSMB9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PSME2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"RTP4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"SAMD9L"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"SERPING1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"STAT2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"TAP2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"WARS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"WARS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"ZBP1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"APOBEC3G"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"C1QB"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"C1QB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
""	"hipc_gene_30843873_5"	"2019.05"	"hipc_gene_30843873_5"	"blood"	"PSME1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"354"	"PSME1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_30843873_5.txt"	"hipc_gene_sig_complete_30843873_5.txt"
