""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"CAND1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"CAND1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"DARS1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"DARS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"FAM104B"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"FAM104B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"GEMIN6"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"GEMIN6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"MSANTD4"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"KIAA1826"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"KIF20B"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"KIF20B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"LPAR5"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"LPAR5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"LRRC8D"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"LRRC8D"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"LYPLAL1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"LYPLAL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"LAMTOR3"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"MAP2K1IP1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"MED7"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"MED7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"MOB3C"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"MOBKL2C"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"NGLY1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"NGLY1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"PNP"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"NP"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"PARM1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"PARM1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"PCM1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"PCM1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"PTK2"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"PTK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"RBM15"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"RBM15"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"RBPMS2"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"RBPMS2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"RNF149"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"RNF149"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"SEC23IP"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"SEC23IP"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"SMCHD1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"SMCHD1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"TBC1D9"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"TBC1D9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"TBL1XR1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"TBL1XR1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"TMEM60"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"TMEM60"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"VPS26A"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"VPS26A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"VPS36"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"VPS36"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"ZNF302"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"ZNF302"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"ZNF615"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"ZNF615"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
""	"hipc_gene_25596819_8"	"2015.01"	"hipc_gene_25596819_8"	"peripheral blood mononuclear cell"	"GCC1"	"gene expression"	"up"	"nonresponder, 2011-12 season"	"28"	"Days"	"time of vaccination (first dose)"	"28d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30)"	"25596819"	"2015"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults"	"21"	"30"	"years"	"8"	"271"	"GCC1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_8.txt"	"hipc_gene_sig_complete_25596819_8.txt"
