""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"PIGR"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"PIGR"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"TAPBP"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"TAPBP"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"CSF2RA"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"CSF2RA"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"CD27"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"CD27"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"FCGR1A"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"ISG15"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"ISG15"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"IRF9"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"STAT1"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"STAT2"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"STAT2"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"TNFSF14"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"TNFSF14"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"RBCK1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"RBCK1"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"PNPT1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"PNPT1"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"CORO1A"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"CORO1A"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"PRKD2"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"PRKD2"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
""	"hipc_gene_21357945_7"	"2011.04"	"hipc_gene_21357945_7"	"peripheral blood mononuclear cell"	"SNRNP70"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with a functional network"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"SNRNP70"	"19"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_7.txt"	"hipc_gene_sig_complete_21357945_7.txt"
