""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"ABLIM1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"ABLIM1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"TRIM24"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"TRIM24"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"ZFP36L2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"ZFP36L2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"WWP2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"WWP2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"IKZF3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"IKZF3"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"ABITRAM"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"ABITRAM"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"TTYH2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"TTYH2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"INPP4A"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"INPP4A"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"RUNX1-IT1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"RUNX1-IT1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"FCRLA"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"FCRLA"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"SLC35E3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"SLC35E3"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"MRI1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"MRI1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"FAM214A"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"FAM214A"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"TRAK1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"TRAK1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"AFF3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"AFF3"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"ZNF23"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"ZNF23"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"HLA-DPB1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"HLA-DPB1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"LINC00909"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"LINC00909"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"UBTD2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"UBTD2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"IFIH1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"IFIH1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"SSBP2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"SSBP2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"RSPH3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"RSPH3"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"PLEKHB2"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"PLEKHB2"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"CASP8"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"CASP8"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"ZMIZ1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"ZMIZ1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"BID"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"BID"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"FOXN3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"CHES1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"WAC"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"WAC"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"EXOC1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"EXOC1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"OSBPL10"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"OSBPL10"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"SP100"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"SP100"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"MFSD14B"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"MFSD14B"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"CRTAP"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"CRTAP"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"COPB1"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"COPB1"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"PPP2R2D"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"PPP2R2D"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"FCRL3"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"FCRL3"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"GMPS"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"GMPS"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
""	"hipc_gene_28137280_2"	"2017.01"	"hipc_gene_28137280_2"	"peripheral blood mononuclear cell"	"SEC24B"	"gene expression"	"down"	"none"	"35"	"Days"	"time of vaccination (first dose)"	"35d-7d"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"adult (30-70)"	"28137280"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"adults, seniors"	"30"	"70"	"years"	"2"	"80"	"SEC24B"	"VO_0001246"	"VO_0003138"	"hipc_gene_sig_28137280_2.txt"	"hipc_gene_sig_complete_28137280_2.txt"
