""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"signature_file_complete"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"GBP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"GBP1"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"XAF1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"XAF1"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFIT3"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IFIT3"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"LAP3"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"LAP3"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TNFSF13B"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"TNFSF13B"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFI44"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IFI44"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"DDX60"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"DDX60"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"P2RY14"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"P2RY14"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PARP14"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"PARP14"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFI44L"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IFI44L"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"OASL"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"OASL"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"LAMP3"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"LAMP3"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"SCO2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"SCO2"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TRAFD1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"TRAFD1"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"STAT2"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"STAT2"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"SAMD4A"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"SAMD4A"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"STAT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"STAT1"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"ATF3"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"ATF3"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"GBP4"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"GBP4"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFIT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IFIT1"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"TRIM22"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"TRIM22"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
