""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"DHX58"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"DHX58"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"DDX60"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"DDX60"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"OAS1"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"OAS1"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"IL1B"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"CARD9"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"CARD9"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"RARA"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"RARA"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"BCL3"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"BCL3"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"ANXA3"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"ANXA3"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"C1QB"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"C1QB"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"SERPING1"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"SERPING1"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"CXCL10"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"CXCL10"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"IRF7"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"IRF7"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"IFIT1"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"IFIT1"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"RSAD2"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"RSAD2"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
""	"hipc_gene_26755593_2"	"2016.02"	"hipc_gene_26755593_2"	"peripheral blood mononuclear cell"	"OAS3"	"gene expression"	"positively"	"MF59-adjuvanted and non-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"correlated with HAI response"	"2012"	"Fluad; Imuvac"	""	"children (14-27m)"	"26755593"	"2016"	"Fig S7b"	"Genes in BTM M75"	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"2"	"47"	"OAS3"	"19"	"VO_0004281"	"VO_0003144"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_2.txt"	"hipc_gene_sig_complete_26755593_2.txt"
