""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR5"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR5"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR6"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR6"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR9"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR9"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"HSP90B1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"HSP90B1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CARD8"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CARD8"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CARD14"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CARD14"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"IRAK2"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"IRAK2"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"IRAK4"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"IRAK4"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"MYD88"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"MYD88"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"NOD2"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"NOD2"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TIRAP"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TIRAP"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR7"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR7"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR8"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR8"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR10"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR10"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TRAF6"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TRAF6"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
