""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"MTHFD1L"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"MTHFD1L"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"IRF1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"IRF1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"EPSTI1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"EPSTI1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"MIR9-1HG"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"C1orf61"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"ODF3B"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"ODF3B"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"TYMP"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"TYMP"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"PARP9"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"PARP9"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"DERL3"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"DERL3"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"EPAS1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"EPAS1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"CETP"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"CETP"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"HAPLN3"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"HAPLN3"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"IFI44L"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"IFI44L"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"GBP1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"GBP1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"CCR3"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"CCR3"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"STAT1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"STAT1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"CSF1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"CSF1"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
""	"hipc_gene_28099485_14"	"2017.01"	"hipc_gene_28099485_14"	"natural killer cell"	"ETV7"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"14"	"462"	"ETV7"	"hipc_gene_sig_28099485_14.txt"	"hipc_gene_sig_complete_28099485_14.txt"
