""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"CD247"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"CD247"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"PVRIG"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"PVRIG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KLRB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KLRF1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KLRF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"TGFBR3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"TGFBR3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"CD7"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"CD7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"NKG7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"S1PR5"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"S1PR5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"ADGRG1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"ADGRG1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DL2"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DS1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DS3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DS2"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DL5A"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL5A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
""	"hipc_gene_26682988_1"	"2015.12"	"hipc_gene_26682988_1"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults (21-86)"	"26682988"	"2015"	"Fig 4E"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_26682988_1.txt"	"hipc_gene_sig_complete_26682988_1.txt"
