""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"signature_file_complete"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"CDK5RAP2"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"CDK5RAP2"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"EMILIN2"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"EMILIN2"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"ATXN7L2"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"ATXN7L2"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"PPP1R16A"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"PPP1R16A"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"JUP"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"JUP"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"TIMM44"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"TIMM44"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"SNX29"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"SNX29"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"TBC1D2"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"TBC1D2"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"HIPK2"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"HIPK2"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"RRBP1"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"RRBP1"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"PTPRA"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"PTPRA"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"CCL18"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"PARC"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"SHFL"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"RYDEN"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"MERTK"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"MERTK"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
""	"hipc_gene_23878721_5"	"2013.07"	"hipc_gene_23878721_5"	"blood"	"CEACAM1"	"gene expression"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"5"	"251"	"CEACAM1"	"19"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_5.txt"	"hipc_gene_sig_complete_23878721_5.txt"
