""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFIT1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFIT1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"OAS3"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"OAS3"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"HERC5"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"HERC5"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFIT3"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFIT3"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"LY6E"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"LY6E"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"EPSTI1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"EPSTI1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFITM3"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFITM3"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFI27"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFI27"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"OAS1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"OAS1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"OASL"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"OASL"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"MX1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"MX1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"HES4"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"HES4"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"OTOF"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"OTOF"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"XAF1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"XAF1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"OAS2"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"OAS2"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"SERPING1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"SERPING1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"SPATS2L"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"SPATS2L"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"MT2A"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"MT2A"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"HERC6"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"HERC6"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFIT2"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFIT2"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IRF7"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IRF7"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"EIF2AK2"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"EIF2AK2"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"SAMD9L"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"SAMD9L"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFI35"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFI35"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"PLSCR1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"PLSCR1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"ZBP1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"ZBP1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"DHX58"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"DHX58"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFI6"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFI6"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"MT1A"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"MT1A"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"LAP3"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"LAP3"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"PARP12"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"PARP12"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"IFIH1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"IFIH1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"HELZ2"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"HELZ2"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"DDX60"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"DDX60"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"TRIM22"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"TRIM22"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"GBP1"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"GBP1"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"RTP4"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"RTP4"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
""	"hipc_gene_19047440_5"	"2008.12"	"hipc_gene_19047440_5"	"peripheral blood mononuclear cell"	"PARP14"	"gene expression"	"up"	"none"	"10"	"Days"	"time of vaccination (first dose)"	"10d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"5"	"34"	"PARP14"	"196"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_5.txt"	"hipc_gene_sig_complete_19047440_5.txt"
