""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD86+ of naive B cells"	"naive B cell"	"CL_0000788"	"& CD86+"	"PR:000001412"	"naive B cell & CD86+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD69+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& CD69+"	"PR:000001343"	"CD8-positive, alpha-beta T cell & CD69+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD25+ of CD8+ Tcells"	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	"CL_0000919"	""	""	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD38+ of IgD+CD27+ memory B cells"	"memory B cell"	"CL_0000787"	"& CD27+, CD38+, IgD+"	"PR:000001963,PR:000001408"	"memory B cell & CD27+, CD38+, IgD+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"IL2+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& IL-2+"	"PR:000001379"	"CD4-positive, alpha-beta T cell & IL-2+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"HLA-DR+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& HLA-DR+"	""	"CD4-positive, alpha-beta T cell & HLA-DR+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD103+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& CD103+"	"PR:000001010"	"CD4-positive, alpha-beta T cell & CD103+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD14+ of viable CD45+ cells"	"CD14-positive monocyte"	"CL_0001054"	"& CD45+, viable"	"PR:000001889, PR:000001006"	"CD14-positive monocyte & CD45+, viable"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD80+ of IgD-CD27+ memory B cells"	"IgD-negative memory B cell"	"CL_0001053"	"& CD80+, CD27+"	"PR:000001438, PR:000001963"	"IgD-negative memory B cell & CD80+, CD27+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD103+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& CD103+"	"PR:000001010"	"CD8-positive, alpha-beta T cell & CD103+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"IFNa+ of pDCs"	"dendritic cell"	"CL_0000451"	"& interferon alpha+"	"PR:000024938"	"dendritic cell & interferon alpha+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"HLA-DR+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& HLA-DR+"	""	"CD8-positive, alpha-beta T cell & HLA-DR+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"IL4+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	"& IL-4+"	"PR:000001391"	"CD4-positive, alpha-beta T cell & IL-4+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD21+ plasmablast"	"plasmablast"	"CL_0000980"	"& CD21+"	"PR:000001338"	"plasmablast & CD21+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"3"	"75"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_75.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"IgA+ of IgD-CD27+ memory B cells"	"IgA memory B cell"	"CL_0000973"	"& CD27+, IgD-"	"PR:000001963"	"IgA memory B cell & CD27+, IgD-"	"cell type frequency"	"down"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"3"	"75"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_75.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD86-positive myeloid dendritic cells (mDCs)"	"myeloid dendritic cell"	"CL_0000782"	"& CD86-positive "	"PR_000001412"	"myeloid dendritic cell & CD86-positive"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"4"	"76"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_76.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CCR7-positive myeloid dendritic cells (mDCs)"	"myeloid dendritic cell"	"CL_0000782"	"& CCR7-positive"	""	"myeloid dendritic cell & CCR7-positive"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"4"	"76"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_76.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD40/CD86-positive monocytes"	"monocyte"	"CL_0000576"	"& CD40, CD86"	"PR_P29965, PR_000001412 "	"monocyte & CD40, CD86"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"4"	"76"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_76.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD38-positive CD56-dim natural killer (NK) cells"	"natural killer cell"	"CL_0000623"	"& CD38+, CD56-dim"	"PR:000001408, PR:000001024"	"natural killer cell & CD38+, CD56-dim"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"4"	"76"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_76.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"up"	"low microneutralization titer group"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"low titer group vs high titer group"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"5"	"77"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_77.txt"
