""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"up"	"none"	"7"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"4"	"27"	"hipc_ctf_dir_26726811_27.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"plasma cells"	"plasma cell"	"CL_0000786"	""	""	"plasma cell"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"196"	"hipc_ctf_dir_26726811_196.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"monocytes"	"monocyte"	"CL_0000576"	""	""	"monocyte"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"196"	"hipc_ctf_dir_26726811_196.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD16-positive inflammatory monocytes"	"monocyte"	"CL_0000576"	"& CD16-positive, inflammatory"	"PR_000001483"	"monocyte & CD16-positive, inflammatory"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"196"	"hipc_ctf_dir_26726811_196.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"all T-cells"	"T cell"	"CL_0000084"	""	""	"T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"197"	"hipc_ctf_dir_26726811_197.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"gamma-delta cells"	"gamma-delta T cell"	"CL_0000798 "	""	""	"gamma-delta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"197"	"hipc_ctf_dir_26726811_197.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	""	""	"CD8-positive, alpha-beta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"197"	"hipc_ctf_dir_26726811_197.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"CL_0000624"	""	""	"CD4-positive, alpha-beta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"197"	"hipc_ctf_dir_26726811_197.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"7"	"198"	"hipc_ctf_dir_26726811_198.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"7"	"198"	"hipc_ctf_dir_26726811_198.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CXCR3-positive CD8-positive IFN-gamma producing T-cells"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CL_0001041"	"& IFNG+"	"PR:000000017"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell & IFNG+"	"cell type frequency"	"down"	"<35yr old"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5B"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"8"	"199"	"hipc_ctf_dir_26726811_199.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"9"	"200"	"hipc_ctf_dir_26726811_200.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"9"	"200"	"hipc_ctf_dir_26726811_200.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"10"	"201"	"hipc_ctf_dir_26726811_201.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"10"	"201"	"hipc_ctf_dir_26726811_201.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"7d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"11"	"202"	"hipc_ctf_dir_26726811_202.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"7d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"11"	"202"	"hipc_ctf_dir_26726811_202.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"14"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"14d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"12"	"203"	"hipc_ctf_dir_26726811_203.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"14"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"14d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"12"	"203"	"hipc_ctf_dir_26726811_203.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"CL_0000798 "	"& CD69+"	"PR:000001343"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"63"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"63d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"13"	"204"	"hipc_ctf_dir_26726811_204.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"CL_0000623"	"& CD69+"	"PR:000001343"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"63"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"63d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 6D"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"13"	"204"	"hipc_ctf_dir_26726811_204.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD38-positive CD8-positive T-cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& CD38+"	"PR:000001408"	"CD8-positive, alpha-beta T cell & CD38+"	"cell type frequency"	"down"	"none"	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-0d, negatively correlated with age"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"14"	"205"	"hipc_ctf_dir_26726811_205.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD45RO-positive CCR7-positive central memory CD4 cells"	"central memory CD4-positive, alpha-beta T cell"	"CL_0000904"	"& CCR7+"	""	"central memory CD4-positive, alpha-beta T cell & CCR7+"	"cell type frequency"	"up"	" >35yr old vs <35 yr old"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d, <35yr old vs >35yr old"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"15"	"206"	"hipc_ctf_dir_26726811_206.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD45RO-positive CCR7-positive central memory CD8 cells"	"CD8-positive, alpha-beta memory T cell, CD45RO-positive"	"CL_0001203"	"& CCR7+"	""	"CD8-positive, alpha-beta memory T cell, CD45RO-positive & CCR7+"	"cell type frequency"	"up"	" >35yr old vs <35 yr old"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d, <35yr old vs >35yr old"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"15"	"206"	"hipc_ctf_dir_26726811_206.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD45RO-positive CCR7-positive central memory CD4 cells"	"central memory CD4-positive, alpha-beta T cell"	"CL_0000904"	"& CCR7+"	""	"central memory CD4-positive, alpha-beta T cell & CCR7+"	"cell type frequency"	"up"	" >35yr old vs <35 yr old"	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, <35yr old vs >35yr old"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"16"	"207"	"hipc_ctf_dir_26726811_207.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD45RO-positive CCR7-positive central memory CD8 cells"	"CD8-positive, alpha-beta memory T cell, CD45RO-positive"	"CL_0001203"	"& CCR7+"	""	"CD8-positive, alpha-beta memory T cell, CD45RO-positive & CCR7+"	"cell type frequency"	"up"	" >35yr old vs <35 yr old"	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, <35yr old vs >35yr old"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"16"	"207"	"hipc_ctf_dir_26726811_207.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD45RO-positive CCR7-positive central memory CD4 cells"	"central memory CD4-positive, alpha-beta T cell"	"CL_0000904"	"& CCR7+"	""	"central memory CD4-positive, alpha-beta T cell & CCR7+"	"cell type frequency"	"up"	" >35yr old vs <35 yr old"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d, <35yr old vs >35yr old"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl Fig 5C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"17"	"208"	"hipc_ctf_dir_26726811_208.txt"
