""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"proterm_and_extra"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3+/CD4+/CD28+"	"B cell"	"& CD3 epsilon+, CD4+, CD28+"	"B cell & CD3 epsilon+, CD4+, CD28+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+"	"CD4-positive, alpha-beta T cell"	"& pKI-67+"	"CD4-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"DC (NK-/CD123)"	"dendritic cell"	"& CD123+, NK-"	"dendritic cell & CD123+, NK-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"hipc_ctf_dir_28687661_41.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+"	"B cell"	"& CD3 epsilon-"	"B cell & CD3 epsilon-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"hipc_ctf_dir_28687661_41.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+"	"IgM memory B cell"	"& CD3 epsilon-, CD27+"	"IgM memory B cell & CD3 epsilon-, CD27+"	"cell type frequency"	"up"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"hipc_ctf_dir_28687661_41.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+"	"IgD-negative memory B cell"	"& CD3 epsilon-, CD27+, IgM-"	"IgD-negative memory B cell & CD3 epsilon-, CD27+, IgM-"	"cell type frequency"	"up"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"hipc_ctf_dir_28687661_41.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD14-/CD3+/CD4+/IL2+/NS1"	"CD4-positive, alpha-beta T cell"	"& CD14-, IL2+, NS1"	"CD4-positive, alpha-beta T cell & CD14-, IL2+, NS1"	"cell type frequency"	"up"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"6"	"41"	"hipc_ctf_dir_28687661_41.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20/CD3-/NK)"	"natural killer cell"	"& CD20+"	"natural killer cell & CD20+"	"cell type frequency"	"down"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"7"	"42"	"hipc_ctf_dir_28687661_42.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK/NKG2A+)"	"NKGA2-positive natural killer cell"	"& CD20-"	"NKGA2-positive natural killer cell & CD20-"	"cell type frequency"	"down"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"7"	"42"	"hipc_ctf_dir_28687661_42.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"natural killer cell"	"& CD20-, NKG2-A/B-activating NK receptor+"	"natural killer cell & CD20-, NKG2-A/B-activating NK receptor+"	"cell type frequency"	"down"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"7"	"42"	"hipc_ctf_dir_28687661_42.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+"	"CD4-positive, alpha-beta T cell"	"& pKI-67+"	"CD4-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"7"	"42"	"hipc_ctf_dir_28687661_42.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"26"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"26d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"7"	"42"	"hipc_ctf_dir_28687661_42.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"CD11c-positive DC cell"	"dendritic cell"	"& CD11c+"	"dendritic cell & CD11c+"	"cell type frequency"	"up"	"none"	"86"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"8"	"43"	"hipc_ctf_dir_28687661_43.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"plasmacytoid dendritic cell"	"cell type frequency"	"up"	"none"	"86"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"8"	"43"	"hipc_ctf_dir_28687661_43.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+"	"B cell"	"& CD3 epsilon-"	"B cell & CD3 epsilon-"	"cell type frequency"	"up"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"9"	"44"	"hipc_ctf_dir_28687661_44.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"DC HLA-DR+CD11c+"	"dendritic cell"	"& CD11c+, HLA-DR+"	"dendritic cell & CD11c+, HLA-DR+"	"cell type frequency"	"down"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus-naive participants vs flavivirus-seropositive participants"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"10"	"45"	"hipc_ctf_dir_28687661_45.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"DC HLA-DR+CD11c+"	"dendritic cell"	"& CD11c+, HLA-DR+"	"dendritic cell & CD11c+, HLA-DR+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus-naive participants vs flavivirus-seropositive participants"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"11"	"46"	"hipc_ctf_dir_28687661_46.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells NK/P815"	"natural killer cell"	"& P815"	"natural killer cell & P815"	"cell type frequency"	"up"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"flavivirus-naive participants vs flavivirus-seropositive participants"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"12"	"47"	"hipc_ctf_dir_28687661_47.txt"
