""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD86+ of naive B cells"	"naive B cell"	"& CD86+"	"naive B cell & CD86+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD69+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"& CD69+"	"CD8-positive, alpha-beta T cell & CD69+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD25+ of CD8+ Tcells"	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	""	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD38+ of IgD+CD27+ memory B cells"	"memory B cell"	"& CD27+, CD38+, IgD+"	"memory B cell & CD27+, CD38+, IgD+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"IL2+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"& IL-2+"	"CD4-positive, alpha-beta T cell & IL-2+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"HLA-DR+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"& HLA-DR+"	"CD4-positive, alpha-beta T cell & HLA-DR+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD103+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"& CD103+"	"CD4-positive, alpha-beta T cell & CD103+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD14+ of viable CD45+ cells"	"CD14-positive monocyte"	"& CD45+, viable"	"CD14-positive monocyte & CD45+, viable"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD80+ of IgD-CD27+ memory B cells"	"IgD-negative memory B cell"	"& CD80+, CD27+"	"IgD-negative memory B cell & CD80+, CD27+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD103+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"& CD103+"	"CD8-positive, alpha-beta T cell & CD103+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"IFNa+ of pDCs"	"dendritic cell"	"& interferon alpha+"	"dendritic cell & interferon alpha+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"HLA-DR+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"& HLA-DR+"	"CD8-positive, alpha-beta T cell & HLA-DR+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"IL4+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"& IL-4+"	"CD4-positive, alpha-beta T cell & IL-4+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"2"	"71"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_71.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD21+ plasmablast"	"plasmablast"	"& CD21+"	"plasmablast & CD21+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"3"	"72"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_72.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"IgA+ of IgD-CD27+ memory B cells"	"IgA memory B cell"	"& CD27+, IgD-"	"IgA memory B cell & CD27+, IgD-"	"cell type frequency"	"down"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"3"	"72"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_72.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD27hi CD38hi of CD20- B cells (plasmablasts)"	"plasmablast"	"& CD27++, CD38++, CD20-"	"plasmablast & CD27++, CD38++, CD20-"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD38+ of IgD-CD27+ memory B cells"	"IgD-negative memory B cell"	"& CD27+, CD38+"	"IgD-negative memory B cell & CD27+, CD38+"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD86 of CD20+ B cells (CD86+ activated mature B)"	"mature B cell"	"& CD86+, activated"	"mature B cell & CD86+, activated"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD38+ of CD4+ T cells"	"CD4-positive, alpha-beta T cell"	"& CD38+"	"CD4-positive, alpha-beta T cell & CD38+"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD39+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"& CD39+"	"CD8-positive, alpha-beta T cell & CD39+"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"CD86+ of IgD-CD27- memory B cells"	"IgD-negative memory B cell"	"& CD86+, CD27-"	"IgD-negative memory B cell & CD86+, CD27-"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"4"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_73.txt"
""	"20140717-hipciof_ctf_24725414"	"2014.07.17"	"hipciof_ctf_21"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	""	"plasmablast"	"cell type frequency"	"up"	"low microneutralization titer group"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"low titer group vs high titer group"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"5"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_ctf_24725414_74.txt"
