""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"exposure_material_1"	"exposure_material_2"	"signature_file"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD69+CD19+"	"B cell"	"& CD69+"	"B cell & CD69+"	"cell type frequency"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"177"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_177.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes HLA-DR++CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	"& HLA-DR++"	"CD14-positive, CD16-positive monocyte & HLA-DR++"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"178"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_178.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	""	"CD14-positive, CD16-positive monocyte"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"179"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_179.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD64+CD14+"	"CD14-positive monocyte"	"& CD64+"	"CD14-positive monocyte & CD64+"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"179"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_179.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CCR2+CD14+"	"CD14-positive monocyte"	"& CCR2+"	"CD14-positive monocyte & CCR2+"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"179"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_179.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CCR5+CD14+"	"CD14-positive monocyte"	"& CCR5+"	"CD14-positive monocyte & CCR5+"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"179"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_179.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD19+"	"B cell"	""	"B cell"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"180"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_180.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD5+CD19+"	"B-1a B cell"	"& CD5+"	"B-1a B cell & CD5+"	"cell type frequency"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"180"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_180.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes HLA-DR++CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	"& HLA-DR++"	"CD14-positive, CD16-positive monocyte & HLA-DR++"	"cell type frequency"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"8"	"181"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_181.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD64+CD14+"	"CD14-positive monocyte"	"& CD64+"	"CD14-positive monocyte & CD64+"	"cell type frequency"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"8"	"181"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_181.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD69+CD19+"	"B cell"	"& CD69+"	"B cell & CD69+"	"cell type frequency"	"down"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"9"	"182"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_182.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes HLA-DR++CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	"& HLA-DR++"	"CD14-positive, CD16-positive monocyte & HLA-DR++"	"cell type frequency"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"10"	"183"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_183.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CCR2+CD14+"	"CD14-positive monocyte"	"& CCR2+"	"CD14-positive monocyte & CCR2+"	"cell type frequency"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"10"	"183"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_183.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"NK cells CD3+CD16+CD56+"	"mature NK T cell"	"& CD56+, CD16+"	"mature NK T cell & CD56+, CD16+"	"cell type frequency"	"down"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"11"	"184"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_184.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes HLA-DR++CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	"& HLA-DR++"	"CD14-positive, CD16-positive monocyte & HLA-DR++"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"12"	"185"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_185.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD64+CD14+"	"CD14-positive monocyte"	"& CD64+"	"CD14-positive monocyte & CD64+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"12"	"185"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_185.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CCR2+CD14+"	"CD14-positive monocyte"	"& CCR2+"	"CD14-positive monocyte & CCR2+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"12"	"185"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_185.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"NK cells CD3-CD16+CD56+"	"natural killer cell"	"& CD56+, CD16+"	"natural killer cell & CD56+, CD16+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"13"	"186"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_186.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CXCR4+CD4+"	"CD4-positive, alpha-beta T cell"	"& CXCR4+"	"CD4-positive, alpha-beta T cell & CXCR4+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"187"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_187.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CD69+CD8+"	"CD8-positive, alpha-beta T cell"	"& CD69+"	"CD8-positive, alpha-beta T cell & CD69+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"187"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_187.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CD25+CD8+"	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	""	"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"187"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_187.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CCR3+CD8+"	"CD8-positive, alpha-beta T cell"	"& CCR3+"	"CD8-positive, alpha-beta T cell & CCR3+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"187"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_187.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CXCR4+CD8+"	"CD8-positive, alpha-beta T cell"	"& CXCR4+"	"CD8-positive, alpha-beta T cell & CXCR4+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"187"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_187.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD32+CD19+"	"B cell"	"& CD32+"	"B cell & CD32+"	"cell type frequency"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"15"	"188"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_188.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD16+CD14+"	"CD14-positive, CD16-positive monocyte"	""	"CD14-positive, CD16-positive monocyte"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"16"	"189"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_189.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CCR5+CD14+"	"CD14-positive monocyte"	"& CCR5+"	"CD14-positive monocyte & CCR5+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"16"	"189"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_189.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"NK cells CD3+CD16+CD56+"	"mature NK T cell"	"& CD56+, CD16+"	"mature NK T cell & CD56+, CD16+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"17"	"190"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_190.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CD54+CD4+"	"CD4-positive, alpha-beta T cell"	"& CD54+"	"CD4-positive, alpha-beta T cell & CD54+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"191"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_191.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CCR3+CD4+"	"CD4-positive, alpha-beta T cell"	"& CCR3+"	"CD4-positive, alpha-beta T cell & CCR3+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"191"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_191.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CXCR4+CD4+"	"CD4-positive, alpha-beta T cell"	"& CXCR4+"	"CD4-positive, alpha-beta T cell & CXCR4+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"191"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_191.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"T cells CD54+CD8+"	"CD8-positive, alpha-beta T cell"	"& CD54+"	"CD8-positive, alpha-beta T cell & CD54+"	"cell type frequency"	"down"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"18"	"191"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_191.txt"
