""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 2"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 2"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Measles virus strain Edmonston-Zagreb"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Measles virus strain Edmonston-Zagreb"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Corynebacterium diphtheriae"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Corynebacterium diphtheriae"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Clostridium tetani"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Clostridium tetani"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 1"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 1"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 2"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 2"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"28"	"Days"	"Human poliovirus 3"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"2"	"117"
