""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"target_pathogen_8"	"target_pathogen_9"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD247"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"CD247"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"PVRIG"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"PVRIG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KLRB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KLRF1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KLRF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"TGFBR3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"TGFBR3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"CD7"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"CD7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"NKG7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"S1PR5"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"S1PR5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"ADGRG1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"ADGRG1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DL2"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DS1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DS3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DS2"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DS2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DL5A"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL5A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DL3"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"1"	"282"	"KIR2DL3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_282.txt"	"hipc_gene_cor_complete_26682988_282.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DS4"	"gene expression"	"negatively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"2"	"283"	"KIR2DS4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_283.txt"	"hipc_gene_cor_complete_26682988_283.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR2DS5"	"gene expression"	"negatively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"2"	"283"	"KIR2DS5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_283.txt"	"hipc_gene_cor_complete_26682988_283.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"KIR3DL3"	"gene expression"	"negatively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"2"	"283"	"KIR3DL3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_283.txt"	"hipc_gene_cor_complete_26682988_283.txt"
""	"hipc_gene_cor_26682988"	"2015.12"	"hipc_gene_cor_39"	"peripheral blood mononuclear cell"	"SELP"	"gene expression"	"positively"	"2007-2010 combined season"	"3"	"Days"	"2007, 2008, 2009, 2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with 180d/28d HAi response"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"adults, seniors"	"21"	"86"	"years"	"3"	"284"	"SELP"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_26682988_284.txt"	"hipc_gene_cor_complete_26682988_284.txt"
