""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD4"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD4"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-G"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD83"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD83"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"SLAMF8"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"SLAMF8"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CXCL2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CXCL2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"PLXDC2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"PLXDC2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"ATP1B1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"ATP1B1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DMA"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"WDFY4"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"WDFY4"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"FAR2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"FAR2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"ASPH"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"ASPH"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HMOX1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HMOX1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"SLC27A2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"SLC27A2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"PTGS2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"PTGS2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"PLAUR"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"PLAUR"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"TNF"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"TNF"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"NFKBID"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"NFKBID"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"NFKB2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"NFKB2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"MAP3K8"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"MAP3K8"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"IL23A"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"IL23A"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CCL5"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CCL5"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"EBI3"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"EBI3"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"BCL3"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"BCL3"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"ICAM1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"ICAM1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CCL20"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CCL20"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"PDE4B"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"PDE4B"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
