""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"HLA-E"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_10.txt"	"hipc_gene_cor_complete_21357945_10.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"TNFSF13B"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"TNFSF13B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_10.txt"	"hipc_gene_cor_complete_21357945_10.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"STAT1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"IRF9"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"SPI1"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"SPI1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"CD74"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"HLA-E"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"TNFSF13B"	"gene expression"	"positively"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"4"	"11"	"TNFSF13B"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_11.txt"	"hipc_gene_cor_complete_21357945_11.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"E2F2"	"gene expression"	"positively"	"low responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"E2F2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_12.txt"	"hipc_gene_cor_complete_21357945_12.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"positively"	"low responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PRDX2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_12.txt"	"hipc_gene_cor_complete_21357945_12.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PRDX3"	"gene expression"	"positively"	"low responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PRDX3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_12.txt"	"hipc_gene_cor_complete_21357945_12.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PTEN"	"gene expression"	"positively"	"low responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"PTEN"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_12.txt"	"hipc_gene_cor_complete_21357945_12.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"ITGB1"	"gene expression"	"positively"	"low responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"5"	"12"	"ITGB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_12.txt"	"hipc_gene_cor_complete_21357945_12.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"E2F2"	"gene expression"	"positively"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"E2F2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_13.txt"	"hipc_gene_cor_complete_21357945_13.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PRDX2"	"gene expression"	"positively"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"PRDX2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_13.txt"	"hipc_gene_cor_complete_21357945_13.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PRDX3"	"gene expression"	"positively"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"PRDX3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_13.txt"	"hipc_gene_cor_complete_21357945_13.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PTEN"	"gene expression"	"positively"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"PTEN"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_13.txt"	"hipc_gene_cor_complete_21357945_13.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"ITGB1"	"gene expression"	"positively"	"low responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"correlated with titer response index (TRI)"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"6"	"13"	"ITGB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_13.txt"	"hipc_gene_cor_complete_21357945_13.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"LILRB3"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"LILRB3"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"DAPP1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"DAPP1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"HLA-G"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"LILRB1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"LILRB1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"PIGR"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"PIGR"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"TAPBP"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"TAPBP"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"CSF2RA"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"CSF2RA"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
""	"hipc_gene_cor_21357945"	"2011.04"	"hipc_gene_cor_1"	"peripheral blood mononuclear cell"	"CD27"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"2008"	"Fluarix; Fluvirin"	""	"correlated with a functional network"	"time of vaccination (first dose)"	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Fig 3C"	"Top functional network for genes preferentially upregulated in the high responder group"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"7"	"14"	"CD27"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_cor_21357945_14.txt"	"hipc_gene_cor_complete_21357945_14.txt"
