""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"ISG15"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"ISG15"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"GBP1"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"GBP1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"GBP1"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N2 and B HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"14"	"261"	"GBP1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_261.txt"	"hipciof_gene_corr_complete_24495909_261.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"OASL"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"OASL"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"OAS1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"OAS1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"OAS2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"OAS2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"IFIT1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT3"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"IFIT3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFITM3"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"IFITM3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"RSAD2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"RSAD2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"GBP1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"GBP1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"GBP5"	"gene expression"	"positively"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"15"	"262"	"GBP5"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_262.txt"	"hipciof_gene_corr_complete_24495909_262.txt"
