""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD74"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-A"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-A"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-C"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-C"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-E"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD4"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD4"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-G"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD83"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD83"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"SLAMF8"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"SLAMF8"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CXCL2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CXCL2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"PLXDC2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"PLXDC2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"ATP1B1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"ATP1B1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DMA"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"WDFY4"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"WDFY4"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"FAR2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"FAR2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"ASPH"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"ASPH"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HMOX1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HMOX1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"SLC27A2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"SLC27A2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"PTGS2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"PTGS2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"PLAUR"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"PLAUR"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"TNF"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"TNF"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"NFKBID"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"NFKBID"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"NFKB2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"NFKB2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"MAP3K8"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"MAP3K8"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"IL23A"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"IL23A"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CCL5"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CCL5"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"EBI3"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"EBI3"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"BCL3"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"BCL3"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"ICAM1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"ICAM1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CCL20"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CCL20"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"PDE4B"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"PDE4B"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD80"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD80"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"IFNG"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"IFNG"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"IL1B"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
