""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"GNLY"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"GNLY"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"CCL5"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"CCL5"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"PRF1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"PRF1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"TGFBR3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"TGFBR3"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"PHLDB2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"PHLDB2"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"IGFBP3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"IGFBP3"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"FCRL6"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"FCRL6"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"KLRF1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"KLRF1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"AGAP1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"AGAP1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"CD247"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"CD247"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"SLC4A4"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"SLC4A4"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"YPEL1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"YPEL1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"SYNE1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"SYNE1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"FGFBP2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"FGFBP2"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"HOPX"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"HOPX"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"NCR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"NCR1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"SH2D1B"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"SH2D1B"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"ATP2B4"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"ATP2B4"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"CST7"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"CST7"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"PRR5L"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"PRR5L"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"MCTP2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"MCTP2"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"KIR3DL1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"KIR3DL1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"FRMPD3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"FRMPD3"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"SIGLEC17P"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"SIGLEC17P"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"NMUR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"NMUR1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"GZMB"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"GZMB"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"NKG7"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"ADCY9"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"ADCY9"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"ELOVL6"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"ELOVL6"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"ADGRE1"	"gene expression"	"positively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with VZV reactivation"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"8"	"171"	"EMR1"	"VO_0004757"	"VO_0000103"
