""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"FANCG"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"FANCG"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"RNASEL"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"RNASEL"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"SLAMF1"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"SLAMF1"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ADGRB3"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"BAI3"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ALAS1"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"ALAS1"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"AURKA"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"AURKA"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"HIRIP3"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"HIRIP3"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"CD180"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"CD180"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"GGT5"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"GGTLA1"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"PFKP"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"PFKP"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"TPI1"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"TPI1"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"IL6"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"IL6"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"TNF"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"TNF"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"INHBA"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"INHBA"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ARHGAP29"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"ARHGAP29"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"NTN1"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"NTN1"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"GML"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"151"	"GML"	"hipciof_gene_corr_19155521_151.txt"	"hipciof_gene_corr_complete_19155521_151.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"IMPA2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"IMPA2"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"RBMS2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"RBMS2"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"FUCA1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"FUCA1"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ADD3"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"ADD3"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"CXCL2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"CXCL2"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"HS3ST2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"HS3ST2"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"SLC43A1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"SLC43A1"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"LEF1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"LEF1"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"HPCAL1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"HPCAL1"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"KRT5"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"KRT5"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ARNTL2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"ARNTL2"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"GMEB1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"GMEB1"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"PMP22"	"gene expression"	"negatively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"152"	"PMP22"	"hipciof_gene_corr_19155521_152.txt"	"hipciof_gene_corr_complete_19155521_152.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"CCND2"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"CCND2"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"LGALS2"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"LGALS2"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"IL1RN"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"IL1RN"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"CD1B"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"FANCG"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"FANCG"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"RNASEL"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"RNASEL"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"SLAMF1"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"SLAMF1"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
""	"20090330-hipciof_gene_corr_19155521"	"2009.03.30"	"hipciof_gene_corr_24"	"peripheral blood mononuclear cell"	"ADGRB3"	"gene expression"	"positively"	"none"	"12"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"5"	"153"	"BAI3"	"hipciof_gene_corr_19155521_153.txt"	"hipciof_gene_corr_complete_19155521_153.txt"
