""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CCR7"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"CCR7"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CD19"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"CD19"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CD274"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"CD274"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CTLA4"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"CTLA4"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"IL6"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"IL6"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"NLRP1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"NLRP1"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"NLRP12"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"NLRP12"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"RAB33A"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"RAB33A"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"TGFB1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"TGFB1"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"TNFRSF1A"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"TNFRSF1A"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"TNFRSF1B"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"4"	"373"	"TNFRSF1B"	"hipciof_gene_corr_29868000_373.txt"	"hipciof_gene_corr_complete_29868000_373.txt"
