""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"MAP2K5"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 4A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"3"	"358"	"MAP2K5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_358.txt"	"hipc_gene_dir_complete_30843873_358.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"NECTIN1"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 4A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"3"	"358"	"PVRL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_358.txt"	"hipc_gene_dir_complete_30843873_358.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"SARM1"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 4A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"3"	"358"	"SARM1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_358.txt"	"hipc_gene_dir_complete_30843873_358.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"CXCR4"	"gene expression"	"up"	"TIV-specific T cell nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 4A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"4"	"359"	"CXCR4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_359.txt"	"hipc_gene_dir_complete_30843873_359.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"STAT1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"STAT1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IRF7"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IRF7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"C2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"C2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"FCGR1A"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"FCGR1A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"GBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"GBP1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"GBP5"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"GBP5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IDO1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IDO1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IFI35"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IFI35"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IFI6"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IFI6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IFIT3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IFIT3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"IRF9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"ISG15"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"OAS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"OAS3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PARP9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PSEN2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PSMB8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PSMB9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"PSME2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
""	"hipc_gene_dir_30843873"	"2019.05"	"hipc_gene_dir_42"	"blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0004899"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"Fig 3"	"C1 includes 2/17, 16/18, and 10/17 t.c.-, i.d.-, and i.m.-vaccinated individuals, respectively. C2 includes the other 15/17, 2/18, and 7/17 t.c-, i.d.-, and i.m.-vaccinated individuals"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"adults"	"18"	"45"	"years"	"5"	"360"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_dir_30843873_360.txt"	"hipc_gene_dir_complete_30843873_360.txt"
