""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CD8A"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"CD8A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"TLR1"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"TLR1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"APC"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"APC"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CD3G"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"CD3G"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"FASLG"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"FASLG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL7"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"IL7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CD8A"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"CD8A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"TLR1"	"gene expression"	"down"	"none"	"4"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"4d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"2"	"450"	"TLR1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_450.txt"	"hipc_gene_dir_complete_26148331_450.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"RIPK2"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"TGFB1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"TGFB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"MICB"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"MICB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"SOCS1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"SOCS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL2RA"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"IL2RA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"MS4A1"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"MS4A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"PTPRC"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"PTPRC"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL2"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"IL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"6"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"6d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"3"	"451"	"IL8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_451.txt"	"hipc_gene_dir_complete_26148331_451.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"RIPK2"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"TGFB1"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"TGFB1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"MICB"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"MICB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"SOCS1"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"SOCS1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL2RA"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"IL2RA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"MS4A1"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"MS4A1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"PTPRC"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"PTPRC"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL2"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"IL2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"7"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"4"	"452"	"IL8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_452.txt"	"hipc_gene_dir_complete_26148331_452.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"RIPK2"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"5"	"453"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_453.txt"	"hipc_gene_dir_complete_26148331_453.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL4"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"5"	"453"	"IL4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_453.txt"	"hipc_gene_dir_complete_26148331_453.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL12B"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"5"	"453"	"IL12B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_453.txt"	"hipc_gene_dir_complete_26148331_453.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"TLR2"	"gene expression"	"up"	"none"	"12"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"12d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"5"	"453"	"TLR2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_453.txt"	"hipc_gene_dir_complete_26148331_453.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"RIPK2"	"gene expression"	"up"	"none"	"15"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"15d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"6"	"454"	"RIPK2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_454.txt"	"hipc_gene_dir_complete_26148331_454.txt"
