""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SMS"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"1"	"387"	"SMS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_387.txt"	"hipc_gene_dir_complete_27534615_387.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CA11"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"1"	"387"	"CA11"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_387.txt"	"hipc_gene_dir_complete_27534615_387.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CA14"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"1"	"387"	"CA14"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_387.txt"	"hipc_gene_dir_complete_27534615_387.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CA2"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"1"	"387"	"CA2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_387.txt"	"hipc_gene_dir_complete_27534615_387.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CA6"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"1"	"387"	"CA6"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_387.txt"	"hipc_gene_dir_complete_27534615_387.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"SUPT16H"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"SUPT16H"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"UPF1"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"UPF1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"MAT2A"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"MAT2A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"RABGGTA"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"RABGGTA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CA8"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"CA8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"IFNG"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"IFNG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"DOP1B"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"2"	"388"	"DOPEY2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_388.txt"	"hipc_gene_dir_complete_27534615_388.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"MAN1B1"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"MAN1B1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"POLL"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"POLL"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CEBPG"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"CEBPG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"FOXP3"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"FOXP3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"IL12A"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"IL12A"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"NEIL1"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"NEIL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"PARP2"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"PARP2"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ELOVL7"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"ELOVL7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"ADGRB1"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"BAI1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"TAPT1"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"TAPT1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CS"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"CS"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"GSTM3"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"GSTM3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"RAD51B"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"RAD51B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"RAD54B"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"RAD54B"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"REC8"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"REC8"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"STAG3"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"STAG3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"CRHBP"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"CRHBP"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"DLG4"	"gene expression"	"down"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"389"	"DLG4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_389.txt"	"hipc_gene_dir_complete_27534615_389.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"EBI3"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"EBI3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
""	"hipc_gene_dir_27534615"	"2016.12"	"hipc_gene_dir_49"	"peripheral blood mononuclear cell"	"INHBA"	"gene expression"	"up"	"none"	"28"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"28d-3d"	"time of vaccination (first dose)"	"adults (50-74)"	"27534615"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"4"	"390"	"INHBA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_27534615_390.txt"	"hipc_gene_dir_complete_27534615_390.txt"
