""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"exposure_material_3"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"IL12B"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"IL12B"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CCL7"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"CCL7"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CXCR4"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"CXCR4"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"IFI6"	"gene expression"	"up"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"2"	"394"	"IFI6"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_394.txt"	"hipc_gene_dir_complete_29132989_394.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"IFIT3"	"gene expression"	"up"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"2"	"394"	"IFIT3"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_394.txt"	"hipc_gene_dir_complete_29132989_394.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CXCL10"	"gene expression"	"up"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"2"	"394"	"CXCL10"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_394.txt"	"hipc_gene_dir_complete_29132989_394.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"MX1"	"gene expression"	"up"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"2"	"394"	"MX1"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_394.txt"	"hipc_gene_dir_complete_29132989_394.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"TNFSF10"	"gene expression"	"up"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"2"	"394"	"TNFSF10"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_394.txt"	"hipc_gene_dir_complete_29132989_394.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CXCR4"	"gene expression"	"down"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"3"	"395"	"CXCR4"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_395.txt"	"hipc_gene_dir_complete_29132989_395.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CCL7"	"gene expression"	"down"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"3"	"395"	"CCL7"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_395.txt"	"hipc_gene_dir_complete_29132989_395.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CRP"	"gene expression"	"down"	"none"	"7"	"days"	"2015qv"	"Flumist Quadrivalent (LAIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"3"	"395"	"CRP"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_395.txt"	"hipc_gene_dir_complete_29132989_395.txt"
