""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"OTOF"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"OTOF"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"XAF1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"XAF1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"OAS2"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"OAS2"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"SERPING1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"SERPING1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"SPATS2L"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"SPATS2L"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"MT2A"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"MT2A"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"HERC6"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"HERC6"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"IFIT2"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"IFIT2"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"IRF7"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"IRF7"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"EIF2AK2"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"EIF2AK2"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"SAMD9L"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"SAMD9L"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"IFI35"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"IFI35"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"PLSCR1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"PLSCR1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"ZBP1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"ZBP1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"DHX58"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"DHX58"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"IFI6"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"IFI6"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"MT1A"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"MT1A"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"LAP3"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"LAP3"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"PARP12"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"PARP12"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"IFIH1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"IFIH1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"HELZ2"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"HELZ2"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"DDX60"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"DDX60"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"TRIM22"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"TRIM22"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"GBP1"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"GBP1"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"RTP4"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"RTP4"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"PARP14"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"PARP14"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"PARP9"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"PARP9"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"TIMM10"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"TIMM10"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
""	"hipc_gene_dir_19047440"	"2008.12"	"hipc_gene_dir_3"	"peripheral blood mononuclear cell"	"STAT2"	"gene expression"	"up"	"none"	"3"	"Days"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"3d-0d"	"time of vaccination (first dose)"	"unknown"	"19047440"	"2008"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"1"	"30"	"STAT2"	"VO_0000121"	"VO_0003139"	"hipc_gene_dir_19047440_30.txt"	"hipc_gene_dir_complete_19047440_30.txt"
