""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"IL18"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"IL18"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"OPRL1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"ORL1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HNMT"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"HNMT"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HAMP"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"HAMP"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"ARPIN"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"C15orf38"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"MYEOV"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"MYEOV"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"LAMP5"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"C20orf103"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"SYT15"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"SYT15"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"PRSS50"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"TSP50"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"XCR1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"XCR1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"SEMA3A"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"SEMA3A"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"SIRPD"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"SIRPD"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"APOC2"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"APOC2"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"BMP3"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"BMP3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"ADORA3"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"ADORA3"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"KCNJ10"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"KCNJ10"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"NDP"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"NDP"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"C4BPB"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"C4BPB"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"GPBAR1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"GPBAR1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"PTGES"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"PTGES"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"CHST6"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"CHST6"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"MFAP5"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"MFAP5"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"TNFRSF10D"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"TNFRSF10D"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HIST4H4"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"HIST4H4"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HIST1H4H"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"HIST1H4H"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HIST1H4C"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"HIST1H4C"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HSPA4L"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"HSPA4L"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"HIST1H4E"	"gene expression"	"up"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"2"	"143"	"HIST1H4E"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_143.txt"	"hipc_gene_dir_complete_23594957_143.txt"
