""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"IFIT3"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"249"	"IFIT3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_249.txt"	"hipc_gene_dir_complete_24495909_249.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"BATF2"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"249"	"BATF2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_249.txt"	"hipc_gene_dir_complete_24495909_249.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"IDO1"	"gene expression"	"up"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"249"	"IDO1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_249.txt"	"hipc_gene_dir_complete_24495909_249.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ORM1"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"ORM1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TGM3"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"TGM3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PHOSPHO2"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"PHOSPHO2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CACNA2D2"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"CACNA2D2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FAM209B"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"FAM209B"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PGM3"	"gene expression"	"down"	"none"	"1"	"Day"	"2010"	"Fluzone"	""	"1d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"250"	"PGM3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_250.txt"	"hipc_gene_dir_complete_24495909_250.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"DEFA1B"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"DEFA1B"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PDIA4"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"PDIA4"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CEACAM8"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"CEACAM8"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TNFRSF17"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"TNFRSF17"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SNORD3C"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"SNORD3C"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ZFP30"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"ZFP30"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SPRING1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"SPRING1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"WFS1"	"gene expression"	"up"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"251"	"WFS1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_251.txt"	"hipc_gene_dir_complete_24495909_251.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"LRRK2"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"LRRK2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"IRAG1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"IRAG1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FCAR"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"FCAR"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"H3C13"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"H3C13"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CTBP2"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"CTBP2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"P2RY14"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"P2RY14"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"KAZN"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"KAZN"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PLAUR"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"Fluzone"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"252"	"PLAUR"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_252.txt"	"hipc_gene_dir_complete_24495909_252.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TSHZ2"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"TSHZ2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"ALG3"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"ALG3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"DUSP10"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"DUSP10"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SALL2"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"Fluzone"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"253"	"SALL2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_253.txt"	"hipc_gene_dir_complete_24495909_253.txt"
