name	id	definition	comment	broad	exact	related
spermatocyte	CL_0000017	A male germ cell that develops from spermatogonia. The euploid primary spermatocytes undergo meiosis and give rise to the haploid secondary spermatocytes which in turn give rise to spermatids.				
spermatid	CL_0000018	A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa.			nematoblast	
sperm	CL_0000019	A mature male germ cell that develops from a spermatid.			sperm cell|spermatozoid|spermatozoon	
spermatogonium	CL_0000020	An euploid male germ cell of an early stage of spermatogenesis.				
female germ cell	CL_0000021	Female germ cell is a germ cell that supports female gamete production.				
female germ line stem cell	CL_0000022					
oocyte	CL_0000023	A female germ cell that has entered meiosis.				oogonium
oogonial cell	CL_0000024	An undifferentiated germ cell that proliferates rapidly and gives rise to oocytes.				
egg cell	CL_0000025	A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.			mature oocyte|ovum	
invertebrate nurse cell	CL_0000026	A germline cell that contributes to the development of the oocyte by transferring cytoplasm directly to oocyte.				nurse cell
smooth muscle cell neural crest derived	CL_0000027					
CNS neuron (sensu Nematoda and Protostomia)	CL_0000028					
neuron neural crest derived	CL_0000029					
glioblast	CL_0000030					
neuroblast	CL_0000031	A cell that will develop into a neuron often after a migration phase.				
neuroplacodal cell	CL_0000032	A cell of a platelike structure, especially a thickened plate of ectoderm in the early embryo, from which a sense organ develops.			neural placode cell	
apocrine cell	CL_0000033	An apocrine cell is a secretory cell characterized loss of part of the cytoplasm during the process of secretion - secretions are budded off through the plasma membrane producing membrane bound vesicles containing the secreted substance.				
stem cell	CL_0000034	A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.				
single fate stem cell	CL_0000035	A stem cell that self-renews as well as give rise to a single mature cell type.			unipotential stem cell|unipotent stem cell	
epithelial fate stem cell	CL_0000036					
hematopoietic stem cell	CL_0000037	A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.	Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.		blood forming stem cell|HSC|hemopoietic stem cell	colony forming unit hematopoietic
erythroid progenitor cell	CL_0000038	A progenitor cell committed to the erythroid lineage.				blast forming unit erythroid|burst forming unit erythroid|erythroid stem cell|colony forming unit erythroid|BFU-E|CFU-E
germ line cell	CL_0000039	A cell that is within the developmental lineage of gametes and is able to pass along its genetic material to offspring.	Originally this term had some plant germ line cell children.			
monoblast	CL_0000040	A myeloid progenitor cell committed to the monocyte lineage. This cell is CD11b-positive, has basophilic cytoplasm, euchromatin, and the presence of a nucleolus.	Morphology: mononuclear cell, diameter 12-20 _M, non-granular, N/C ratio 3/1 - 4/1; markers: CD11b (shared with many other myeloid cells); location: Adult: bone marrow; fetal: liver, Yolk Sac; role or process: hematopoiesis, monocyte development; lineage: hematopoietic, myeloid.			CFU-M|colony forming unit macrophage|colony forming unit monocyte|monocyte stem cell
mature eosinophil	CL_0000041	A fully differentiated eosinophil, a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Cells are also differentiated from other granulocytes by a small nuclear-to-cytoplasm ratio (1:3). This cell type is CD49d-positive.	Eosinophils are CD125-positive (IL-5R), GM-CSFR-positive, IL-3R-positive, VLA4-positive. They can also express MHC Class I & II, CD4, CD9, CD11a, CD11b, CD11c, CD13, CD15, CD16, CD17, CD18, CD24, CD25,CD28, CD29, CD32, CD33, CD35, CD37, CD39, CD43, CD44, CD45, CD45RB, CD45RO, CD46, CD47, CD48, CD49d, CD49f, CD50, CD52, CD53, CD54, CD55, CD58, CD59, CD62L, CD63, CD65, CD66, CD69, CD71, CD76, CD80, CD81, CD82, CD86, CD87, CD88, CD89, CD92, CD95, CD97, CD98, CD99, CD100, CD101, CD116, CD117, CD119, CD120, CD123, CD124, CD125, CD131, CD137, CD139, CD148, CD149, CD151, CD153, CD156, CD162, CD161, CD162, CD165, CD174, CD182, CD183, CD191, CD192, CD193, CD196, CD213, IL9R, ad integrin, beta-7 integrin, FceRI, IL13Ra1, TGFbR, PAFR, LTB4R, C3aR, CystLT1R, CystLT2R, fMLPR, CRTH2 (PGD2 receptor), histamine 4R, IDO, KYN, PAR-2, Siglec-8, Siglec-10, LIR1, LIR2, LIR3, LIR7, TLR7, TLR8, and VLA-4. Eosinophils can also secrete CXCL1, eotaxin-1, GM-CSF, IL-2, IL-3, IL-4, IL-5, IL-6, IL-8, IL-10, IL-12, IL-13, IL-16, IL-18, IFN-gamma, LTC4, MIP-1alpha, NGF, PAF, RANTES, substance P, TGF-alpha, TGF-beta, TNF-alpha, and VIP.	polymorphonuclear leucocyte|polymorphonuclear leukocyte	mature eosinocyte|mature eosinophil leucocyte|mature eosinophil leukocyte	
neutrophilic myeloblast	CL_0000042	A myeloblast committed to the neutrophil lineage. This cell type is GATA-1 positive, C/EBPa-positive, AML-1-positive, c-myb-positive and has low expression of PU.1 transcription factor.	These cells are CD11b-negative, CD15-negative, CD16-negative, CD35-negative, CD49d-positive, CD68-positive, lactotransferrin-negative, and fMLP receptor-negative. They are found in the Band 3 fraction.			neutrophilic granuloblast
mature basophil	CL_0000043	A fully differentiated basophil, a granular leukocyte with an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation.	Mature basophils are also capable of producing IL-3, IL-5, IL-6, IL-8, IL-13, IL-25, CCL22, tslp, vegf, and LTC4.	polymorphonuclear leucocyte|polymorphonuclear leukocyte	mature basophil leucocyte|mature basophil leukocyte	
obsolete thymus processed stem cell	CL_0000045	OBSOLETE (was not defined before being made obsolete).	Consider using term 'pro-T cell ; CL:0000827' or the term 'thymocyte ; CL:0000893' or one of its children instead.			
obsolete bursa processed stem cell	CL_0000046	OBSOLETE (was not defined before being made obsolete).	Consider using term 'pro-B cell ; CL:0000826' or the term 'immature B cell ; CL:0000816 or one of its children instead.			
neuronal stem cell	CL_0000047	Neural stem cell is characterized as an undifferentiated cell that originates from the neuroectoderm and has the capacity both to perpetually self-renew without differentiating and to generate multiple types of lineage-restricted progenitors.			neural stem cell|NSC	
multi fate stem cell	CL_0000048	A stem cell that can give rise to multiple lineages of cells.			multi-fate stem cell|multipotent cell|multipotent stem cell|multifate stem cell	
common myeloid progenitor	CL_0000049	A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages.	This cell type is intended to be compatible with any vertebrate common myeloid progenitor.  For mammalian CMP known to be CD34-positive, please use the term 'common myeloid progenitor, CD34-positive' (CL_0001059).		CMP|common myeloid precursor	colony forming unit granulocyte, erythrocyte, macrophage, and megakaryocyte|CFU-GEMM|myeloid stem cell|multipotential myeloid stem cell|CFU-S|pluripotent stem cell (bone marrow)
megakaryocyte-erythroid progenitor cell	CL_0000050	A progenitor cell committed to the megakaryocyte and erythroid lineages.	MEPs are reportedly CD19-negative, CD34-negative, CD45RA-negative, CD110-positive, CD117-positive, and SCA1-negative and reportedly express the transcription factors GATA-1 and NF-E2.		megakaryocyte/erythrocyte progenitor|CFU-EM|colony forming unit erythroid megakaryocyte|Meg/E progenitor|megakaryocyte/erythroid progenitor cell|MEP|CFU-MegE	
common lymphoid progenitor	CL_0000051	A oligopotent progenitor cell committed to the lymphoid lineage.	CLP are CD7-positive, CD10-positive, CD19-negative, CD34-positive, CD45RA-positive, CD79a-negative, CD127-positive, AA4.1-positive, RAG-negative, Sca-1-low, sIgM-negative, sIgD-negative, TdT-negative, Vpre-B-negative, and pre-BCR-negative. Expression of transcription factors include E2A-positive, EBF-positive, Ikaros-negative, PU.1-negative, and Pax5-negative.		CLP|common lymphocyte precursor|common lymphoid precursor|common lymphocyte progenitor	committed lymphopoietic stem cell|lymphopoietic stem cell|ELP|early lymphocyte progenitor|lymphoid stem cell
totipotent stem cell	CL_0000052	A stem cell from which all cells of the body can form.			totipotential stem cell	
bone matrix secreting cell	CL_0000054					
non-terminally differentiated cell	CL_0000055	A precursor cell with a limited number of potential fates.	define using PATO mulit-potent or oligopotent?		blast cell	
myoblast	CL_0000056	A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair.				
fibroblast	CL_0000057	A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.	These cells may be vimentin-positive, fibronectin-positive, fsp1-positive, MMP-1-positive, collagen I-positive, collagen III-positive, and alpha-SMA-negative.			
chondroblast	CL_0000058	Skeletogenic cell that is typically non-terminally differentiated, secretes an avascular, GAG rich matrix; is not buried in cartilage tissue matrix, retains the ability to divide, located adjacent to cartilage tissue (including within the perichondrium), and develops from prechondroblast (and thus prechondrogenic) cell.			chrondoplast	
ameloblast	CL_0000059	Skeletogenic cell that produces enamel, overlies the odontogenic papilla, and arises from the differentiation of a preameloblast cell.	non-encoded relationship from VSAO produces VSAO:0000066		enamel secreting cell|amelocyte	
odontoblast	CL_0000060	Skeletogenic cell that secretes dentine matrix, is derived from the odontogenic papilla, and develops from a preodontoblast cell.	legacy def: One of the cells forming the outer surface of dental pulp that produces tooth dentin.			
cementoblast	CL_0000061	Skeletogenic cell that produces cementum (a bony substance that covers the root of a tooth), is part of the odontogenic papilla, and develops from a precementoblast cell.	Legacy def: A cell of ectomesenchymal origin that aids in the formation the cementum layer on the roots of teeth.		cementum secreting cell	
osteoblast	CL_0000062	Skeletogenic cell that secretes osteoid, is capable of producing mineralized (hydroxyapatite) matrix, is located adjacent to or within osteoid tissue, and arises from the transformation of a preosteoblast cell.	non-encoded relationships from VSAO - capable_of_producing VSAO:0000020			
obsolete cell by histology	CL_0000063	OBSOLETE: A classification of cells by their microscopic appearance.	This term was made obsolete because there is no difference in meaning between it and 'cell', as any cell can be classified by its microscopic appearance. If you have used this term in annotation, please replace it with cell (CL:0000000), native cell (CL:0000003), or cell in vitro (CL:0001034) as appropriate.			
ciliated cell	CL_0000064	A cell that has a filiform extrusion of the cell surface.				
ependymal cell	CL_0000065	A neurectoderm derived cell that lines the neural lumen.			ependymocyte	
epithelial cell	CL_0000066	A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina.			epitheliocyte	
ciliated epithelial cell	CL_0000067	An epithelial cell that has a cillia.				
duct epithelial cell	CL_0000068					
branched duct epithelial cell	CL_0000069					
obsolete epithelial cell of gland	CL_0000070					
blood vessel endothelial cell	CL_0000071	An endothelial cell that lines the vasculature.			cuboidal endothelial cell of vascular tree	
non-branched duct epithelial cell	CL_0000072					
barrier epithelial cell	CL_0000073					
obsolete epithem cell	CL_0000074	Obsolete. Use PO:0000066 from Plant Ontology instead. A cell that constitutes the mesophyll of a hydathode and is located between the xylem endings and the epidermis. Proposed to be involved in the retrieval of solutes from the xylem sap.	replaced_by: PO:0000066			
columnar/cuboidal epithelial cell	CL_0000075					
squamous epithelial cell	CL_0000076					
mesothelial cell	CL_0000077	A flattened epithelial cell of mesenchymal origin that lines the serous cavity.			mesotheliocyte	
peridermal cell	CL_0000078					
stratified epithelial cell	CL_0000079					
circulating cell	CL_0000080	A cell which moves among different tissues of the body, via blood, lymph, or other medium.				
blood cell	CL_0000081	A cell found predominately in the blood.				
epithelial cell of lung	CL_0000082				lung epithelial cell	
epithelial cell of pancreas	CL_0000083	An epithelial cell of the pancreas.			pancreatic epithelial cell|pancreas epithelial cell	
T cell	CL_0000084	A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.			T-cell|T-lymphocyte|T lymphocyte	immature T cell|mature T cell
germ line stem cell (sensu Vertebrata)	CL_0000085					
germ line stem cell (sensu Nematoda and Protostomia)	CL_0000086					
male germ line stem cell (sensu Nematoda and Protostomia)	CL_0000087					
female germ line stem cell (sensu Nematoda and Protostomia)	CL_0000088					
male germ line stem cell (sensu Vertebrata)	CL_0000089				spermatogonial stem cell	
female germ line stem cell (sensu Vertebrata)	CL_0000090					
Kupffer cell	CL_0000091	A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system.	Markers: Mouse: F4/80+, CD11b-low, CD68+, sialoadhesin+, CD163/SRCR+; role or process: immune, antigen-presentation, clearance of senescent erythrocytes, iron metabolism. Kupffer cells are also reportedly C3aR-positive, CD14-low, CD54-positive, CD88-positive, and CD284-positive. They are also capable of producing IL-1, IL-6, TNF-alpha, nitric oxide, PGD2, PGE2, PGF2alpha, and TXA2.		von Kupffer cell|stellate cell of von Kupffer|littoral cell of hepatic sinusoid|macrophagocytus stellatus|liver macrophage|hepatic macrophage	
osteoclast	CL_0000092	A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.	Morphology: Highly vesicular; markers: Surface: RANK, cFMS (MCSF receptor); Secreted: cathepsin K and TRAP (tartate resistant acid phosphatase); transcription factors: PU.1, cFOS, MITF, NFkB (p52); role or process: tissue remodelling: bone resorption; lineage: hematopoietic, myeloid.			chondroclast
obsolete osteochondroclast	CL_0000093	OBSOLETE (was not defined before being made obsolete).	Consider using 'osteoclast ; CL:0000092' instead.			
granulocyte	CL_0000094	A leukocyte with abundant granules in the cytoplasm.			granular leucocyte|granular leukocyte|polymorphonuclear leukocyte	
neuron associated cell	CL_0000095					
mature neutrophil	CL_0000096	A fully differentiated neutrophil, a granular leukocyte having a nucleus with three to five lobes connected by slender threads, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes. They are produced in bone marrow at a rate of 5e10-10e10/day and have a half-life of 6-8 hours. Neutrophils are CD15-positive, CD16-positive, CD32-positive, CD43-positive, CD181-positive, and CD182-positive.	Neutrophils are also capable of secreting GRO-alpha, IL-1beta, IL-1ra, IL-3, IL-12, IP-10, MIG, MIP-1alpha, MIP-1beta, TGF-beta, TNF-alpha, VEGF, and anti-microbial peptides. They can positively influence the chemotaxis of basophils, T-cells, monocytes, macrophages, dendritic cells, and other neutrophils. Neutrophils are also CD35-positive, CD64-positive, CD89-positive, CD184-positive, and fMLP receptor-positive Ly-6G-positive (mouse), TLR2-low, TLR4-low, and lineage-negative (CD2, CD3, CD5, CD9, CD19, CD36, CD49d, CD56, CD61, CD235a (glycophorin-A)).	polymorphonuclear leucocyte|poly|polymorphonuclear leukocyte	PMN|polynuclear neutrophilic leukocyte|mature neutrophilic leucocyte|mature neutrocyte|mature neutrophilic leukocyte|mature neutrophil leucocyte|mature neutrophil leukocyte|polymorphonuclear neutrophil|polynuclear neutrophilic leucocyte	
mast cell	CL_0000097	A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.	Mast cells are generally integrin beta-7-negative and positive for TLR2, TLR3, TLR4, TLR5, TLR7, TLR9, C3aR, C5aR, CR3, CR4, VEGF, FGF2, and renin. They can express MHC Class I and II on their surface. Activated murine mast cells (IgE+Antigen) were capable of expressing the following co-stimulatory molecules: CD95 (Fas), CD120b, CD137 (4-1BB), CD153 (CD30L), CD154 (CD40L), GITR, ICOSL, OX40L, PD-L1, and PD-L2. Note that there was some mouse strain variation. Mast cells have also been demonstrated to produce bFGF, CCL2, CCL4, CCL5, CCL11, CCL20, CXCL2, CXCL8, CXCL10, GM-CSF, IFN-gamma, IL-1, IL-2, IL-3, IL-8, IL-10, IL-11, IL-12, IL-13, IL-16, IL-25, IL-18, MIP-1, prostaglandin D2, SCF, TGF-beta, TNF-alpha, TSLP, VEGF, and XCL1. They express the transcription factors Transcription factors AP-1, GATA1, MITF, Notch2, PIAS3, PU.1, and STAT5.		histaminocyte|labrocyte|mastocyte	tissue basophil
sensory epithelial cell	CL_0000098	A specialized epithelial cell involved in sensory perception. Restricted to special sense organs of the olfactory, gustatory, and vestibulocochlear receptor systems; contain sensory cells surrounded by supportive, non-receptive cells.	The term "neuroepithelial cell" is used to describe both this cell type and neurecto-epithelial cell (CL:0000710).	neuroepithelial cell		
interneuron	CL_0000099	Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.				
motor neuron	CL_0000100	An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.			motoneuron	
sensory neuron	CL_0000101	Any neuron having a sensory function; an afferent neuron conveying sensory impulses.				
polymodal neuron	CL_0000102					
bipolar neuron	CL_0000103	A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.				
multipolar neuron	CL_0000104	Neuron with an axon and two or more dendrites.				
pseudounipolar neuron	CL_0000105	Neuron with two neurites that are fused grossly when they protrude from the soma and bifurcate a short distance from the soma.				
unipolar neuron	CL_0000106	Neuron with one neurite that extends from the cell body.				
autonomic neuron	CL_0000107	A neruon whose cell body is within an autonomic ganglion.				
cholinergic neuron	CL_0000108	A neuron that uses acetylcholine as a vesicular neurotransmitter.				
adrenergic neuron	CL_0000109					
peptidergic neuron	CL_0000110					
peripheral neuron	CL_0000111	A neuron that is part of nerve found outside the central nervous system.				
columnar neuron	CL_0000112					columnar neuron
mononuclear phagocyte	CL_0000113	A vertebrate phagocyte with a single nucleus.				
surface ectodermal cell	CL_0000114				cell of surface ectoderm|surface ectoderm cell	
endothelial cell	CL_0000115	An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.	From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].		endotheliocyte	
pioneer neuron	CL_0000116	Pioneer neurons establish a pathway in the developing central nervous system and then undergo programmed cell death once the adult axons, which follow them, have made connections with the target site. Thus, they are a transient cell type involved in axon guidance.				
CNS neuron (sensu Vertebrata)	CL_0000117					
basket cell	CL_0000118					
cerebellar Golgi cell	CL_0000119	Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers. The axon of the Golgi cell enters ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.			cerebellum Golgi cell|Golgi cell|Golgi neuron|cerebellar Golgi neuron	
granule cell	CL_0000120					
Purkinje cell	CL_0000121	The output neuron of the cerebellar cortex.			cerebellum Purkinje cell|Purkinje neuron|cerebellar Purkinje cell|Purkinje's cell	
stellate neuron	CL_0000122					
neuron associated cell (sensu Vertebrata)	CL_0000123					
glial cell (sensu Nematoda and Protostomia)	CL_0000124					
glial cell	CL_0000125	A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.	It is unclear that all glial cells develop from a cell type called a glioblast. Radial glial cells develop from neuroepithelial cells and other types of glial cells develop from other precursors. Unless glioblast is meant to describe any cell that can give rise to a glial cell, this relationship needs further investigation.		neuroglial cell	neuroglia
macroglial cell	CL_0000126	A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together.			macrogliocyte	
astrocyte	CL_0000127	A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.	Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.		astrocytic glia	
oligodendrocyte	CL_0000128	A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.	Oligodendrocytes are reportedly MDP-positive and CD4-negative.		OLs	oligodendroglia
microglial cell	CL_0000129	A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.	Markers: Mouse: CD11b+, F4/80+, CD68+. They represent ~12% of the cells in the CNS, but they are not uniformly distributed within the CNS. A normal adult mouse brain has approximately 3.5x10e6 microglia. Microglia are also reportedly CD3-negative, CD4-positive, CD8-negative, CD11b-positive, CD11c-high, CD14-negative, CD19-negative, CD45-low, CD56-negative, CD163-negative, CD200R-positive, CD281-positive, CD282-positive, CD283-positive, CD284-positive, CD285-positive, CD286-positive, CD287-positive, CD288-positive, CD289-positive, Gr1-negative, nestin-positive, and PU.1-positive.	brain macrophage	hortega cells|microgliocyte|microglia|brain-resident macrophage	MF.microglia.CNS
neuron associated cell (sensu Nematoda and Protostomia)	CL_0000130					
gut endothelial cell	CL_0000131					
corneal endothelial cell	CL_0000132	Cell of the single layer of large flattened cells covering the surface of the cornea.				
neurectodermal cell	CL_0000133	Ectoderm destined to be nervous tissue.			neurectoderm cell	
mesenchymal stem cell	CL_0000134	A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. This cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.	Many but not all mesenchymal cells derive from the mesoderm. MSCs are reportedly CD3-negative, CD4-negative, CD5-negative, CD8-negative, CD11a-negative, CD11b-negative, CD14-negative, CD19-negative, CD29-positive, CD31-negative, CD34-negative, CD38-negative, CD40-negative, CD44-positive, CD45-negative, CD49-positive, CD54-positive, CD66b-negative, CD79a-negative, CD80-negative, CD102-positive, CD106-positive, CD117-positive, CD121a-positive, CD121b-positive, CD123-positive, CD124-positive, CD133-negative, CD146-positive, CD166-positive, CD271-positive, B220-negative, Gr1-negative, MHCI-positive, MHCII-negative, SSEA4-negative, sca1-positive, Ter119-negative, and glycophorin A-negative. Cultured MSCs are capable of producing stem cell factor, IL7, IL8, IL11, TGF-beta, cofilin, galectin-1, laminin-receptor 1, cyclophilin A, and MMP-2.			mesenchymal stem cell|mesenchymal progenitor cells|mesenchymal stromal cells|mesenchymal precursor cell|CFU-F|stem cells, mesenchymal|mesenchymal stromal cell|MSC
